City,Country,Date,Latitude,Longitude,Max Temperature,Cloudiness,Humidity,Wind Speed
Östersund,SE,1631235028,63.1792,14.6357,10.25,90,93,0.51
Vao,NC,1631235030,-22.6667,167.4833,20.0,99,65,6.36
Naze,JP,1631235032,28.3667,129.4833,27.51,7,75,2.99
Fairbanks,US,1631235004,64.8378,-147.7164,18.98,1,53,0.0
Carnarvon,AU,1631235036,-24.8667,113.6333,20.04,62,83,5.66
Vestmannaeyjar,IS,1631235038,63.4427,-20.2734,10.95,90,77,1.3
Abalak,RU,1631235040,58.1286,68.5944,8.74,100,95,4.31
Leshukonskoye,RU,1631235042,64.8989,45.7622,4.23,97,90,2.97
Linkou,CN,1631235046,45.3,130.2833,18.2,100,81,4.99
George Town,MY,1631235004,5.4112,100.3354,26.61,20,87,1.54
High Rock,BS,1631235051,26.6208,-78.2833,26.01,2,66,4.23
Sobolevo,RU,1631235053,54.4299,31.8996,14.56,95,85,3.49
Verkhnyaya Inta,RU,1631235055,65.9811,60.3094,5.34,100,98,4.81
Dingle,PH,1631235057,10.9995,122.6711,25.41,100,92,4.07
Marion,US,1631235058,39.7684,-86.1555,21.18,36,69,1.82
Gargždai,LT,1631235060,55.7128,21.4033,13.41,14,83,3.43
Mackay,AU,1631235062,-21.15,149.2,21.99,40,73,7.2
Phalodi,IN,1631235065,27.1333,72.3667,29.45,16,68,4.48
Huarmey,PE,1631235067,-10.0681,-78.1522,17.4,49,86,4.13
Raja,SS,1631235070,8.4596,25.678,20.1,100,97,1.8
Lorengau,PG,1631235072,-2.0226,147.2712,29.61,26,71,7.23
Pangai,TO,1631235073,-19.8,-174.35,23.06,90,83,6.69
Osa,RU,1631235075,57.2829,55.4567,6.83,35,96,3.94
Darhan,MN,1631235077,49.4867,105.9228,11.67,63,69,1.25
Torbay,CA,1631235081,47.6666,-52.7314,16.82,20,90,4.63
Iskateley,RU,1631235083,67.6803,53.1512,4.28,95,88,4.52
San Vicente,AR,1631235085,-26.6167,-54.1333,9.2,0,82,0.59
Aklavik,CA,1631235086,68.2191,-135.0107,18.46,100,61,4.36
Wairoa,NZ,1631235090,-39.0333,177.3667,19.75,100,43,4.92
Tsimmerbude,RU,1631235091,54.675,20.1347,14.03,11,77,4.1
Salalah,OM,1631234957,17.0151,54.0924,26.05,90,94,1.54
Kedrovyy,RU,1631235095,56.1667,91.8167,6.23,17,60,5.24
Nong Kung Si,TH,1631235096,16.65,103.3,25.08,94,91,1.78
Igarka,RU,1631235098,67.4667,86.5833,8.59,100,91,5.72
San Ignacio,BZ,1631235014,17.1561,-89.0714,27.08,40,83,2.06
Tsumeb,NA,1631235101,-19.2333,17.7167,13.75,1,27,6.04
Esim,GH,1631235103,4.8699,-2.2405,24.37,75,91,2.39
Russell,US,1631235105,32.3502,-85.1999,23.6,1,85,0.0
Rodrigues Alves,BR,1631235106,-7.738,-72.6509,23.71,3,80,0.9
Plettenberg Bay,ZA,1631235108,-34.0527,23.3716,23.85,100,34,4.3
Labuhan,ID,1631235110,-6.8844,112.2051,27.49,47,69,2.92
Zhengjiatun,CN,1631235113,43.5064,123.5064,17.5,0,77,2.59
Harper,LR,1631235115,4.375,-7.7169,25.09,100,88,4.68
Kitsuki,JP,1631235117,33.4167,131.6167,25.9,40,78,1.54
Porto Santo,PT,1631235118,33.072,-16.3415,23.95,20,78,1.54
Santa Rosa,PH,1631235120,14.3122,121.1114,29.49,100,72,2.37
Bako,ET,1631235122,5.7833,36.5667,17.29,93,75,1.09
Fallon,US,1631235124,39.4735,-118.7774,35.88,88,16,6.07
Phan Thiet,VN,1631235125,10.9333,108.1,26.36,100,86,4.03
La Ronge,CA,1631235127,55.1001,-105.2842,20.14,75,56,2.57
Hofn,IS,1631235129,64.2539,-15.2082,9.81,18,56,2.09
Thompson,CA,1631235007,55.7435,-97.8558,18.09,90,63,1.54
Palmer,US,1631235132,42.1584,-72.3287,20.51,90,85,2.06
Udachny,RU,1631235134,66.4167,112.4,12.77,14,46,3.24
Luanda,AO,1631235078,-8.8368,13.2343,22.29,11,88,3.19
Nanortalik,GL,1631235137,60.1432,-45.2371,7.08,100,91,2.56
Beira,MZ,1631235139,-19.8436,34.8389,23.05,40,83,7.2
Cayenne,GF,1631235141,4.9333,-52.3333,27.27,0,83,0.45
Plaridel,PH,1631235142,14.8872,120.8572,29.49,100,80,2.98
Praia,CV,1631235144,14.9215,-23.5087,26.3,75,83,2.06
Pisco,PE,1631235146,-13.7,-76.2167,16.03,10,82,6.17
Severo-Kuril'sk,RU,1631235149,50.6789,156.125,10.59,100,58,9.55
Port Lincoln,AU,1631235151,-34.7333,135.8667,20.13,0,36,5.95
Dolní Lutyně,CZ,1631235153,49.8988,18.4282,14.42,7,92,2.63
Ariquemes,BR,1631234878,-9.9133,-63.0408,23.29,100,94,3.18
Mount Gambier,AU,1631235156,-37.8333,140.7667,11.95,100,87,4.63
Semey,KZ,1631235158,50.4111,80.2275,4.12,0,87,3.0
Chickasha,US,1631235159,35.0526,-97.9364,31.38,1,30,3.09
Aksu,CN,1631235161,41.1231,80.2644,23.64,100,23,1.59
Simões,BR,1631235163,-7.5989,-40.8178,24.6,6,41,3.35
Kwinana,AU,1631235165,-32.25,115.7667,13.29,1,88,0.45
Mehamn,NO,1631235166,71.0357,27.8492,5.84,99,80,5.24
Siyabuswa,ZA,1631235168,-25.1132,29.0445,14.52,0,80,2.38
Maraã,BR,1631235170,-1.8333,-65.3667,23.89,46,91,1.6
Lakes Entrance,AU,1631235172,-37.8811,147.981,15.87,100,64,2.84
Nuuk,GL,1631235175,64.1835,-51.7216,4.66,82,63,5.25
Villazón,BO,1631235177,-22.0866,-65.5942,6.93,6,31,2.13
Tautira,PF,1631235178,-17.7333,-149.15,28.01,72,68,5.92
Sakaiminato,JP,1631235129,35.55,133.2333,23.99,40,73,1.54
Meulaboh,ID,1631235182,4.1363,96.1285,24.69,99,81,1.47
Pangnirtung,CA,1631235183,66.1451,-65.7125,2.35,99,75,1.07
San Jose,US,1631234949,37.3394,-121.895,32.92,75,47,4.63
Beringovskiy,RU,1631235187,63.05,179.3167,5.38,100,86,6.15
Lipno,PL,1631235188,52.8444,19.1785,13.89,10,62,3.21
Wukari,NG,1631235190,7.85,9.7833,22.98,70,94,1.63
Kiryat Gat,IL,1631235124,31.61,34.7642,27.12,21,100,3.12
Lázaro Cárdenas,MX,1631235038,17.9583,-102.2,26.64,100,82,1.83
Khani,GE,1631235197,41.9563,42.9566,14.76,1,77,2.43
Kosh-Agach,RU,1631235198,50.0,88.6667,4.63,100,73,0.7
Namtsy,RU,1631235200,62.7161,129.6658,9.06,80,36,0.78
Tabou,CI,1631235202,4.423,-7.3528,24.73,99,90,3.77
Blythe,US,1631235136,33.6103,-114.5964,43.35,1,14,7.39
Suoyarvi,RU,1631235205,62.0833,32.35,4.82,3,88,2.24
Celendín,PE,1631235207,-6.8703,-78.1517,13.33,82,80,0.7
Edgewater,US,1631235210,28.9889,-80.9023,27.05,75,83,5.14
Carballo,ES,1631235212,43.213,-8.691,18.26,31,97,2.09
Yuzhnyy,RU,1631235213,53.2542,83.6936,10.21,0,50,4.0
Daru,PG,1631235215,-9.0763,143.2092,26.87,65,83,8.09
Kantunilkín,MX,1631235217,21.0917,-87.45,25.76,95,84,1.92
Dolzhanskaya,RU,1631235220,46.6311,37.8039,18.16,0,55,5.72
Polovinnoye,RU,1631235222,54.7914,65.9864,9.1,100,91,6.85
Porlamar,VE,1631235224,10.958,-63.8491,29.05,24,74,7.2
Wattegama,LK,1631235225,6.7989,81.4808,24.51,100,79,2.39
Maralal,KE,1631235227,1.0968,36.698,14.93,100,82,2.08
Garissa,KE,1631235229,-0.4536,39.6401,22.19,99,82,6.84
Takoradze,GH,1631235203,4.8845,-1.7554,24.5,91,91,2.72
Cabra,ES,1631235232,37.4725,-4.4421,21.61,85,72,1.14
Te Anau,NZ,1631235234,-45.4167,167.7167,6.84,97,94,2.93
Jequitinhonha,BR,1631235236,-16.4339,-41.0033,22.27,34,60,1.18
Gambēla,ET,1631235237,8.25,34.5833,20.53,100,85,1.28
Visby,SE,1631234989,57.6409,18.296,14.36,75,94,1.54
Waipawa,NZ,1631235241,-41.4122,175.5153,14.35,96,70,9.98
Khilok,RU,1631235242,51.3674,110.4676,7.96,75,85,0.65
Abancay,PE,1631235244,-13.6339,-72.8814,16.19,100,79,1.87
Grindavik,IS,1631235246,63.8424,-22.4338,10.26,75,87,5.66
Stratford,US,1631235248,41.1845,-73.1332,21.14,100,93,1.83
Shenzhen,CN,1631235058,22.5455,114.0683,31.59,100,75,1.82
Cavalcante,BR,1631235251,-13.7975,-47.4583,25.44,0,24,0.95
Kamenka,RU,1631235253,51.3223,42.7678,12.33,0,68,3.08
Olinda,BR,1631235254,-8.0089,-34.8553,23.85,40,73,3.6
Pāveh,IR,1631235256,35.0434,46.3565,19.08,0,39,2.81
Novo Aripuanã,BR,1631235258,-5.1206,-60.3797,22.81,100,94,0.63
Ushtobe,KZ,1631235259,45.2514,77.9838,12.43,90,33,5.8
Dédougou,BF,1631235263,12.4667,-3.4667,23.16,95,91,2.32
Champawat,IN,1631235264,29.3333,80.1,16.11,90,94,1.44
Mercedes,AR,1631235266,-34.6515,-59.4307,12.13,100,85,6.98
Arraial do Cabo,BR,1631235268,-22.9661,-42.0278,22.98,20,88,1.03
Donegal,IE,1631235270,54.65,-8.1167,16.63,100,99,0.3
Pathein,MM,1631235271,16.7833,94.7333,25.41,100,91,1.57
Auki,SB,1631235273,-8.7676,160.7034,28.3,95,69,2.28
Tazovsky,RU,1631235275,67.4667,78.7,3.72,84,79,3.23
Dikson,RU,1631235277,73.5069,80.5464,4.84,7,82,1.54
Coruripe,BR,1631235278,-10.1256,-36.1756,22.76,0,86,2.77
Tezu,IN,1631235280,27.9167,96.1667,27.33,88,73,0.76
Pingxiang,CN,1631235282,27.6167,113.85,29.45,43,67,0.83
Changji,CN,1631235283,44.0167,87.3167,19.44,0,45,4.0
Itoman,JP,1631235285,26.1247,127.6694,32.01,40,74,7.2
Atar,MR,1631235287,20.5169,-13.0499,36.58,10,10,3.43
Hervey Bay,AU,1631235137,-25.2986,152.8535,23.06,0,64,2.55
Abu Samrah,SY,1631235290,35.3029,37.1841,22.46,0,64,4.03
Andes,CO,1631235292,5.6561,-75.8788,21.1,98,98,1.59
Tucuruí,BR,1631235294,-3.7661,-49.6725,26.84,94,63,1.29
Cortes,ES,1631235295,41.9395,-1.4396,20.58,22,56,2.29
Kurchum,KZ,1631235297,48.5722,83.6542,8.94,100,51,1.75
Dubova,RO,1631235299,44.6167,22.2667,13.02,100,53,1.22
Chamonix,FR,1631235301,45.9238,6.8693,15.35,100,96,1.75
Borşa,RO,1631235304,47.6553,24.6633,11.04,5,68,1.02
Glenwood Springs,US,1631235306,39.5505,-107.3248,33.45,1,19,2.06
Colares,PT,1631235307,38.7992,-9.4469,20.55,100,68,3.61
Robertsport,LR,1631235311,6.7533,-11.3686,25.92,100,83,4.95
Sambava,MG,1631235312,-14.2667,50.1667,20.13,97,87,4.22
Kongolo,CD,1631235314,-5.3833,27.0,23.91,100,67,1.55
Sept-Îles,CA,1631235305,50.2001,-66.3821,15.29,90,97,0.45
Mitsamiouli,KM,1631235317,-11.3847,43.2844,24.51,6,72,2.11
El Alto,PE,1631235319,-4.2714,-81.2147,17.12,26,86,7.64
Verkhnevilyuysk,RU,1631235321,63.4453,120.3167,13.68,12,52,2.77
Uribia,CO,1631235323,11.7139,-72.266,29.76,99,61,8.8
Juneau,US,1631235324,58.3019,-134.4197,14.56,100,92,1.89
Örnsköldsvik,SE,1631235326,63.2909,18.7153,6.9,43,100,2.06
Ninghai,CN,1631235328,29.2892,121.4247,26.82,32,77,0.78
Tecpan,GT,1631235330,14.7623,-90.9947,17.62,98,97,1.44
Raudeberg,NO,1631235331,61.9875,5.1352,14.0,100,97,4.97
Périgueux,FR,1631235333,45.1833,0.7167,18.31,62,96,1.39
Pitkyaranta,RU,1631235335,61.5734,31.4792,7.36,0,81,3.1
Leeuwarden,NL,1631235338,53.2014,5.8086,19.51,90,92,1.54
Jacareacanga,BR,1631235340,-6.2222,-57.7528,23.0,95,96,1.08
Ponta Delgada,PT,1631235342,37.7333,-25.6667,22.4,20,83,3.6
Mocuba,MZ,1631235343,-16.8392,36.9856,21.12,100,76,1.77
Kruisfontein,ZA,1631235345,-34.0033,24.7314,15.8,100,50,4.13
Concepción del Uruguay,AR,1631235347,-32.4825,-58.2372,12.77,100,94,1.79
Shīeli,KZ,1631235348,44.1667,66.75,14.14,2,24,4.39
Mushie,CD,1631235350,-3.0167,16.9,25.35,15,68,1.08
Malbork,PL,1631235352,54.0359,19.0266,15.49,7,68,3.44
Japura,ID,1631235354,-0.3167,102.35,24.47,100,93,1.48
Terra Santa,BR,1631235357,-2.1042,-56.4869,24.02,70,83,1.32
Kapoeta,SS,1631235359,4.7717,33.5903,21.79,91,82,0.16
Balad,IQ,1631235360,34.0164,44.1453,29.18,0,28,6.01
Los Llanos de Aridane,ES,1631235362,28.6585,-17.9182,21.86,75,78,5.14
Nome,US,1631235111,64.5011,-165.4064,11.76,20,82,5.14
Pidhorodne,UA,1631235367,48.5753,35.1068,12.58,6,44,0.6
Saint-Joseph,RE,1631235370,-21.3667,55.6167,19.2,16,74,2.1
Royan,FR,1631235372,45.6285,-1.0281,19.99,20,90,4.49
Kirakira,SB,1631235374,-10.4544,161.9205,28.29,100,74,6.2
Waverly,US,1631235376,42.7392,-84.6208,17.05,15,74,2.72
Chipinge,ZW,1631235377,-20.1883,32.6236,14.73,98,92,3.22
Stromness,GB,1631235379,58.965,-3.296,13.98,100,94,3.13
Romny,UA,1631235381,50.751,33.4747,12.96,5,74,1.99
Morant Bay,JM,1631235383,17.8815,-76.4093,28.79,11,83,3.62
Hualmay,PE,1631235384,-11.0964,-77.6139,16.67,30,87,4.05
Namatanai,PG,1631235386,-3.6667,152.4333,29.28,60,66,5.26
Saldanha,ZA,1631235388,-33.0117,17.9442,14.03,100,95,7.72
Leh,IN,1631235390,34.1667,77.5833,12.93,38,66,0.32
Sur,OM,1631235391,22.5667,59.5289,31.04,97,59,1.83
Erice,IT,1631235393,38.037,12.5865,19.26,100,67,2.55
Oussouye,SN,1631235395,12.485,-16.5469,28.1,100,86,4.35
Mount Isa,AU,1631235397,-20.7333,139.5,24.87,0,31,7.2
Alta Floresta,BR,1631235398,-9.8756,-56.0861,20.73,100,97,1.99
Sulangan,PH,1631235400,11.1373,123.7228,27.8,100,77,4.22
Porto Belo,BR,1631235402,-27.1578,-48.5531,19.12,99,92,1.16
Aswān,EG,1631235254,24.0934,32.907,31.61,0,29,3.09
Prince Rupert,CA,1631235405,54.3161,-130.3201,15.05,1,82,1.54
Ust-Nera,RU,1631235407,64.5667,143.2,5.81,20,35,1.65
Am Timan,TD,1631235409,11.0297,20.2827,23.13,100,92,2.46
Amga,RU,1631235410,60.8953,131.9608,12.43,10,37,1.76
Mangan,IN,1631235412,27.5167,88.5333,24.94,100,81,1.49
Mabaruma,GY,1631235414,8.2,-59.7833,24.44,100,90,1.61
Nizwá,OM,1631235415,22.9333,57.5333,28.97,75,53,0.87
Santa Catalina,PH,1631235417,9.3337,122.8637,26.08,100,90,4.72
Edison,US,1631235241,40.5187,-74.4121,21.11,1,94,1.54
Tura,IN,1631235422,25.5198,90.2201,25.21,32,90,1.42
Beidao,CN,1631235424,34.5686,105.8933,21.11,4,73,2.03
Cayon,KN,1631235425,17.35,-62.7333,28.92,90,76,6.23
Rochegda,RU,1631235427,62.8,43.25,4.75,90,98,2.02
Khasan,RU,1631235429,42.4308,130.6434,21.37,47,80,0.85
Mataram,ID,1631235431,-8.5833,116.1167,26.45,76,65,2.62
Hefei,CN,1631235432,31.8639,117.2808,28.01,0,78,1.0
Dhārchula,IN,1631235434,29.85,80.5333,21.12,100,92,0.58
Luena,AO,1631235436,-11.7833,19.9167,16.7,0,24,1.72
Taoudenni,ML,1631235390,22.6783,-3.9836,35.97,0,13,4.86
Khovd,MN,1631235439,48.0056,91.6419,15.11,91,44,2.17
Viranşehir,TR,1631235441,37.2353,39.7631,25.76,0,40,2.86
Xuanzhou,CN,1631235443,30.9525,118.7553,27.66,71,77,0.14
La Mira,MX,1631235444,18.035,-102.3266,26.23,100,85,1.68
Necochea,AR,1631235446,-38.5473,-58.7368,10.02,100,97,4.85
Fortuna,US,1631235448,40.5982,-124.1573,25.66,75,69,1.79
Jalu,LY,1631235449,29.0331,21.5482,23.23,0,55,3.77
Port Augusta,AU,1631235451,-32.5,137.7667,25.39,0,14,7.64
Baiyin,CN,1631235453,36.5583,104.2081,13.49,0,23,1.38
Sosnovo-Ozerskoye,RU,1631235455,52.5249,111.5418,7.18,46,83,1.56
Cap Malheureux,MU,1631235456,-19.9842,57.6142,20.26,34,80,1.34
Buin,CL,1631235458,-33.7333,-70.75,17.02,3,61,1.41
Pitsunda,GE,1631235460,43.1592,40.3378,18.1,0,66,3.28
Linfen,CN,1631235462,36.0889,111.5189,26.23,0,45,0.8
Câmara de Lobos,PT,1631235465,32.6333,-16.9667,24.35,40,87,1.79
Mackenzie,CA,1631235468,55.2999,-123.1698,16.12,1,51,5.14
Palekastro,GR,1631235470,35.2,26.25,22.64,0,71,7.54
Yumen,CN,1631235472,40.2833,97.2,21.7,0,14,3.2
Jeremoabo,BR,1631235474,-10.075,-38.4808,18.61,5,94,2.18
Altay,CN,1631235475,47.8667,88.1167,12.6,40,50,0.32
Skvyra,UA,1631235477,49.7318,29.6657,11.52,28,54,1.62
Batagay-Alyta,RU,1631235479,67.8006,130.4114,8.24,18,36,1.07
Denpasar,ID,1631235480,-8.65,115.2167,26.81,20,94,7.2
Keuruu,FI,1631235484,62.2667,24.7,9.1,29,88,1.38
Sechura,PE,1631235485,-5.5569,-80.8222,18.49,3,80,7.33
San Juan,AR,1631235388,-31.5375,-68.5364,14.11,0,36,2.73
Liverpool,GB,1631235243,53.4106,-2.9779,18.71,75,88,1.54
Zinder,NE,1631235490,13.8072,8.9881,28.65,100,53,2.47
Garh Maharaja,PK,1631235492,30.8339,71.9053,28.83,15,64,2.74
Coquimbo,CL,1631235196,-29.9533,-71.3436,11.85,0,87,2.57
Andenes,NO,1631235495,69.3143,16.1194,5.99,90,81,5.14
Coos Bay,US,1631235319,43.3665,-124.2179,21.84,90,86,3.6
Bubaque,GW,1631235498,11.2833,-15.8333,27.28,100,81,5.58
Berdigestyakh,RU,1631235500,62.0989,126.6992,11.95,51,39,2.57
Billings Metropolitan Area,US,1631235341,45.7833,-108.5007,29.73,86,37,3.48
Grand Gaube,MU,1631235307,-20.0064,57.6608,20.21,24,80,1.34
Jiuquan,CN,1631235505,39.7432,98.5174,22.62,0,14,0.58
Esmeralda,CU,1631235507,21.8525,-78.1169,25.93,31,78,2.89
Vyartsilya,RU,1631235508,62.1764,30.693,5.2,0,88,2.01
Biedenkopf,DE,1631235510,50.9167,8.5333,18.85,88,96,1.24
Dyersburg,US,1631235512,36.0345,-89.3856,22.75,0,58,1.68
Prachuap Khiri Khan,TH,1631235515,12.2167,99.75,24.17,100,92,2.15
Marrakesh,MA,1631235520,31.6315,-8.0083,24.04,0,57,1.54
Skagen,DK,1631235522,57.7209,10.5839,17.1,9,81,2.79
Rizhao,CN,1631235523,35.4275,119.4553,25.26,0,77,1.61
Kassala,SD,1631235525,15.451,36.4,24.54,100,78,5.61
Safi,MA,1631235527,32.2994,-9.2372,20.56,1,86,5.49
Uvinza,TZ,1631235529,-5.1036,30.3911,22.06,11,56,1.18
Estelle,US,1631235530,29.8458,-90.1067,28.33,20,49,3.6
Ahipara,NZ,1631235532,-35.1667,173.1667,15.95,100,74,7.3
Malanje,AO,1631235534,-9.5402,16.341,21.42,13,67,2.04
Suba,PH,1631235536,10.8438,121.0102,26.31,100,87,5.28
Tyup,KG,1631235537,42.7276,78.3648,12.38,95,64,2.87
Kavaratti,IN,1631235539,10.5669,72.642,27.67,12,76,7.3
Sumbe,AO,1631235541,-11.2061,13.8437,21.59,34,91,2.08
Karlstad,SE,1631235542,59.3793,13.5036,10.31,20,100,1.54
Mildura,AU,1631235544,-34.2,142.15,20.98,0,35,3.09
Arrifes,PT,1631235547,37.7667,-25.7,21.14,20,83,3.6
Wazirabad,PK,1631235549,32.4458,74.1159,26.99,82,95,4.55
Volksrust,ZA,1631235551,-27.3654,29.8818,6.69,2,89,1.06
